ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/26135860543625,view1_casual_pain_relief_2500x1875_75bf77e0-51dc-4cc8-8521-a3fc29025b4c.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_casual_pain_relief_2500x1875_75bf77e0-51dc-4cc8-8521-a3fc29025b4c.webp?v=1727451815,Pair view of Superfeet Casual Pain Relief Insoles with graphic overlay text that says Extra Orthotic Support for Plantar Fasciitis Relief.,2024-09-27 11:43:33 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860674697,view4_casual_mens_easyfit_2500x1875_859bd05b-cd70-4477-9f78-b1e904e780ee.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_casual_mens_easyfit_2500x1875_859bd05b-cd70-4477-9f78-b1e904e780ee.webp?v=1727451816,View of the bottom of a single Superfeet Casual Men's Easyfit Insoles with highlighted features that say Slip-resistant ridges keep the insole in place.,2024-09-27 11:43:35 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860707465,view2_casual_pain_relief_2500x1875_8601ef96-9d13-4c27-8c5e-5e088e1db41e.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_casual_pain_relief_2500x1875_8601ef96-9d13-4c27-8c5e-5e088e1db41e.webp?v=1727451817,"Pair view of Superfeet Casual Pain Relief Insoles with Fit Profile graphic elements. All arch heights, Max insole thickness, Mid underfoot cushioning.",2024-09-27 11:43:36 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860838537,view3_casual_pain_relief_2500x1875_078ffbe0-2e9e-40db-89f7-e2858d7c8f1d.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_casual_pain_relief_2500x1875_078ffbe0-2e9e-40db-89f7-e2858d7c8f1d.webp?v=1727451819,Pair of Superfeet Casual Pain Relief Insoles with feature highlights that say Vibram Diflex top cover forms to your foot and Removable heel stabilizer adds support where you need it most.,2024-09-27 11:43:38 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860871305,view5_casual_mens_easyfit_2500x1875_a9a8c7eb-fd8a-4b9f-8a6c-2f351a938950.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_casual_mens_easyfit_2500x1875_a9a8c7eb-fd8a-4b9f-8a6c-2f351a938950.webp?v=1727451821,View of the top of a single Superfeet Casual Men's Easyfit Insole with thumbs-up icon and text that says Doctor-recommended Superfeet shape.,2024-09-27 11:43:39 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135858544777,view1_all_purpose_support_low_arch_2500x1875_e031a935-40c3-46fd-ba45-ec4352518a09.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_all_purpose_support_low_arch_2500x1875_e031a935-40c3-46fd-ba45-ec4352518a09.webp?v=1727451771,,2024-09-27 11:42:50 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861067913,view6_casual_mens_easyfit_2500x1875_9765fac2-1ebc-4346-bc3f-1eee1f4ed46f.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_casual_mens_easyfit_2500x1875_9765fac2-1ebc-4346-bc3f-1eee1f4ed46f.webp?v=1727451823,"A new Superfeet Casual Men's Easyfit box is highlighted in the foreground, with graphic text that says NEW - New packaging, same great product. The previous version of the packaging is shown in the background.",2024-09-27 11:43:41 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861100681,view5_casual_pain_relief_2500x1875_9dc11770-e480-4f50-b298-3723560f3900.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_casual_pain_relief_2500x1875_9dc11770-e480-4f50-b298-3723560f3900.webp?v=1727451824,View of the top of a single Superfeet Casual Pain Relief insole with logo and text that says Approved by the American Podiatric Medical Association.,2024-09-27 11:43:43 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861166217,view6_casual_pain_relief_2500x1875_95899ee7-2729-4740-b4ae-7963eb78fa35.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_casual_pain_relief_2500x1875_95899ee7-2729-4740-b4ae-7963eb78fa35.webp?v=1727451825,"A new Superfeet Casual Pain Relief Insoles box is highlighted in the foreground, with graphic text that says NEW - New packaging, same great product. The previous version of the packaging is shown in the background.",2024-09-27 11:43:44 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861231753,view1_casual_support_2500x1875_8aec0c5d-0a24-4315-bf9b-5b303ed85589.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_casual_support_2500x1875_8aec0c5d-0a24-4315-bf9b-5b303ed85589.webp?v=1727451827,Pair view of Superfeet Casual Support Insoles with graphic overlay text that says Plush Memory Foam for Plush Comfort,2024-09-27 11:43:45 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861362825,view2_casual_support_2500x1875_65ee9136-159f-42d0-a005-c3d72098067a.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_casual_support_2500x1875_65ee9136-159f-42d0-a005-c3d72098067a.webp?v=1727451828,"Pair view of Superfeet Casual Support Insoles with Fit Profile graphic elements. All arch heights, Max insole thickness, Mid underfoot cushioning.",2024-09-27 11:43:47 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861395593,view3_casual_support_2500x1875_9902e498-7847-4505-898a-930fe1732aff.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_casual_support_2500x1875_9902e498-7847-4505-898a-930fe1732aff.webp?v=1727451829,Pair of Superfeet Casual Support Insoles with feature highlights that say Brushed microsuede top cover with Moisturewick and Sculpted heel maximizes natural shock absorption.,2024-09-27 11:43:48 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861493897,view4_casual_support_2500x1875_6a57c9bc-5077-4e60-8b01-a500eedb9e8d.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_casual_support_2500x1875_6a57c9bc-5077-4e60-8b01-a500eedb9e8d.webp?v=1727451831,View of the bottom of a single Superfeet Casual Support Insole with highlighted features that say Two layers of plush memory foam cushion the foot and EVOLyte carbon fiber cap adds spring to every step.,2024-09-27 11:43:49 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861526665,view5_casual_support_2500x1875_29e1789b-3175-405e-ace5-9a5a744c798f.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_casual_support_2500x1875_29e1789b-3175-405e-ace5-9a5a744c798f.webp?v=1727451832,View of the top of a single Superfeet Casual Support Insole with thumbs-up icon and text that says Doctor-recommended Superfeet shape.,2024-09-27 11:43:51 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861559433,view6_casual_support_2500x1875_6ac88361-d297-481b-ab58-4b2814ec4a59.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_casual_support_2500x1875_6ac88361-d297-481b-ab58-4b2814ec4a59.webp?v=1727451834,"A new Superfeet Casual Support Insoles box is highlighted in the foreground, with graphic text that says NEW - New packaging, same great product. The previous version of the packaging is shown in the background.",2024-09-27 11:43:52 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861756041,view1_casual_womens_easyfit_2500x1875_214db186-ac1c-467f-87bb-bee6c659ee50.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_casual_womens_easyfit_2500x1875_214db186-ac1c-467f-87bb-bee6c659ee50.webp?v=1727451840,Pair view of Superfeet Casual Women's Easyfit Insoles with graphic overlay text that says Stabilizes Feet and Supports Arches.,2024-09-27 11:43:59 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861854345,view2_casual_womens_easyfit_2500x1875_80fdb584-c378-40b6-b78e-2db189ffff9e.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_casual_womens_easyfit_2500x1875_80fdb584-c378-40b6-b78e-2db189ffff9e.webp?v=1727451843,"Pair view of Superfeet Casual Women's Easyfit Insoles with Fit Profile graphic elements. All arch heights, Thin insole thickness, Firm underfoot cushioning.",2024-09-27 11:44:01 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861887113,view3_casual_womens_easyfit_2500x1875_583d9883-0cf2-4102-9be4-410a84fac9b7.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_casual_womens_easyfit_2500x1875_583d9883-0cf2-4102-9be4-410a84fac9b7.webp?v=1727451844,Pair of Superfeet Casual Women's Easyfit Insoles with feature highlights that say Brushed microsuede top cover with Moisturewick and Sculpted heel maximizes natural shock absorption.,2024-09-27 11:44:02 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135861952649,view4_casual_womens_easyfit_2500x1875_ed6eeba1-0ae8-4ac3-aa33-91efbf4bb5c2.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_casual_womens_easyfit_2500x1875_ed6eeba1-0ae8-4ac3-aa33-91efbf4bb5c2.webp?v=1727451846,View of the bottom of a single Superfeet Casual Women's Easyfit insole with highlighted feature that says Slip-resistant ridges keep the insole in place.,2024-09-27 11:44:05 -0400,IMAGE,image/webp,700,500,,Ready,
