ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,77,product_feature_2,product_features.arch-support-all-purpose
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,78,product_feature_3,product_features.moisture-wick
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,79,product_feature_4,product_features.third-lightweight-aluminum-frame
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,80,product_features_list,
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,true,81,name,Walking
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,82,main_image,t2-plp-tech-all-purpose-fitness.webp
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,83,eyebrow,Performance Tech
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,84,headline,Superfeet For Walking
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,85,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles are clinically proven to decrease fatigue, reduce injury, and improve comfort""}]}]}"
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,86,product_feature_1,product_features.fourth-lightweight-aluminum-frame
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,87,product_feature_2,product_features.arch-support-walk
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,88,product_feature_3,product_features.moisture-wick
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,89,product_feature_4,product_features.third-lightweight-aluminum-frame
88907710601,walking,MERGE,Walking,Active,2024-10-17 10:46:13 -0400,product_feature_groups,Product Feature Groups,,90,product_features_list,
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,true,91,name,Pain Relief
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,92,main_image,t2-plp-tech-court-golf.webp
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,93,eyebrow,Performance Tech
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,94,headline,Engineered FOR PAIN RELIEF
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,95,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles are clinically proven to decrease fatigue, reduce injury, and improve comfort.""}]}]}"
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,96,product_feature_1,product_features.premium-cushioning-all-purpose
88907645065,pain-relief,MERGE,Pain Relief,Active,2025-02-25 10:02:04 -0500,product_feature_groups,Product Feature Groups,,97,product_feature_2,product_features.arch-support-all-purpose
