"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Blog Article","/blogs/foot-health-podiatry/should-i-put-footbeds-in-my-ski-boots",16,16,0,0
"Blog Article","/blogs/foot-health-podiatry/work-boot-insoles-that-fight-fatigue-even-on-concrete-floors",15,15,2,1
"Blog Article","/blogs/foot-health-podiatry/outside-foot-pain-how-to-manage-it-with-superfeet-insoles-and-avoid-surgery",15,15,0,0
"Blog Article","/blogs/health-wellness/plantar-fasciitis-relief-superfeet-best-sellers",15,15,0,0
"Blog Article","/blogs/hiking-outdoor/how-to-make-your-shoes-more-comfortable-with-superfeet-insoles",14,14,0,0
"Blog Article","/blogs/running/running-insoles-benefits-differences-between-the-run-and-adapt-lines",14,14,0,0
"Blog Index","/blogs/all",14,14,0,0
"Product","/products/run-support-low-arch",13,13,1,1
"Blog Article","/blogs/company-news/superfeet-insoles-for-athletes-nurses-and-professionals",10,12,0,0
"Blog Article","/blogs/health-wellness/structured-heel-cup-a-foot-comfort-gamechanger",12,12,0,0
"Custom Page","/pages/performance",12,12,0,0
"Collection","/collections/personalized",11,12,0,0
"Blog Article","/blogs/foot-health-podiatry/origins-of-orthotic-insoles",11,11,0,0
"Product","/products/me3d-max",10,11,0,0
"Blog Index","/blogs/health-wellness",11,11,0,0
"Blog Article","/blogs/foot-health-podiatry/tailors-bunion-relief-and-prevention-tips-with-superfeet-insoles",11,11,0,0
"Custom Page","/pages/our-giving",9,10,0,0
"Blog Article","/blogs/running/innovation-in-action-upgrading-superfeet-run-support-insoles",10,10,3,2
"Product","/products/hockey-performance-2-pack",10,10,0,0
"Blog Article","/blogs/foot-health-podiatry/accessory-navicular-syndrome-how-to-reduce-pain-and-improve-foot-function",10,10,0,0
"Blog Article","/blogs/company-news/10-of-the-best-running-songs-of-all-time",8,10,0,0
"Product","/products/run-pain-relief-2-pack",10,10,1,1
"Checkout","/checkouts/cn/hWN4FpTyTA4DRkJSMHAL4kjp/en-us/information",1,10,0,10
"Product","/products/all-purpose-high-impact-support-3-pack",7,9,0,0
"Blog Index","/blogs/company-news",9,9,0,0
