"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/blogs/foot-health-podiatry/shin-splints-explained",0,8,0,"[6,6,0,0]"
"/blogs/running/how-to-eat-like-an-elite-athlete-inside-an-elite-athletes-diet",0,1,0.03,"[1,1,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9wZXJzb25hbGl6ZWQ%2C/",0,1,0.01,"[1,1,0,0]"
"/pages/me3d-store-locator",0,21,0.2,"[8,2,5,1]"
"/en-eu/news/6-types-of-running-workouts-and-why-you-need-them",0,1,0.03,"[1,1,0,0]"
"/blogs/foot-health-podiatry/plantar-fasciitis-explained",0,30,0,"[12,11,1,0]"
"/products/all-purpose-memory-foam-support%0A%20",0,1,0,"[0,0,0,0]"
"/products/hockey-performance-2-pack",0,17,0,"[3,3,0,0]"
"/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist",0,14,0,"[6,6,0,0]"
"/blogs/health-wellness/tips-to-relieve-tired-and-aching-feet-according-to-a-podiatrist",0,4,0.01,"[3,3,0,0]"
"/blogs/company-news/couch-to-5k-running-training-plan-for-beginning-runners",0,17,0.03,"[5,5,0,0]"
"/blogs/hiking-outdoor/the-10-most-memorable-hikes-in-north-america",0,2,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29uY2UtYS10aHJ1LWhpa2VyLWFsd2F5cy1hLXRocnUtaGlrZXI%2C/",0,1,0.25,"[1,0,1,0]"
"/en-us/insoles/trailblazer-comfort",0,1,0.03,"[1,1,0,0]"
"/en-au/blogs/health-wellness",0,1,0.03,"[1,1,0,0]"
"/blogs/foot-health-podiatry/outside-foot-pain-how-to-manage-it-with-superfeet-insoles-and-avoid-surgery",0,6,0.11,"[3,2,1,0]"
"/blogs/company-news/15-of-colorados-most-scenic-trail-running-destinations",0,1,0.01,"[1,1,0,0]"
"/pages/disclaimer-of-warranty",0,4,0.02,"[3,3,0,0]"
"/en-us/customer/account/create/",0,1,0.02,"[1,1,0,0]"
"/blogs/technology/the-unique-benefits-of-me3d-personalized-insoles",0,1,0.02,"[1,1,0,0]"
"/press/release/Superfeet/Insoles/Dutch/Ski/Snowboard.aspx",0,1,0.03,"[1,1,0,0]"
"/en-us/run-comfort-insoles",0,1,0.03,"[1,1,0,0]"
"/rx/national-parks/national-parks/great-smoky-mountains",0,1,0.05,"[1,1,0,0]"
"/products/commuter-essentials-pack",0,25,0.79,"[6,0,0,6]"
"/blogs/national-parks/a-guide-to-the-best-hiking-in-olympic-national-park",0,2,0,"[1,1,0,0]"
"/en-us/insoles-and-sandals/linden-black",0,1,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-insoles-for-athletes-nurses-and-professionals",0,13,0,"[5,5,0,0]"
"/blogs/running/finding-your-stride-lessons-from-a-high-school-cross-country-team",0,1,0,"[1,1,0,0]"
"/blogs/foot-health-podiatry/supination-101-why-the-right-insoles-matter-for-your-foot-health",0,1,0,"[1,1,0,0]"
"/blogs/hiking-outdoor/hiking-insoles-benefits-differences-between-adapt-hike-and-trailblazer",0,17,0,"[7,7,0,0]"
"/blogs/national-parks/trail-running-in-the-smokies-an-insider-s-guide",0,7,0.03,"[1,1,0,0]"
"/pages/work-memory-foam-size-chart",0,14,0,"[12,11,1,0]"
"/blogs/running/best-stretches-and-exercises-for-plantar-fasciitis-relief",0,10,0.02,"[4,4,0,0]"
"/blogs/company-news/meet-superfeet-work-support-that-works-as-hard-as-you-do",0,13,0,"[6,6,0,0]"
"/en-us/insoles-and-sandals/run-comfort",0,3,0.13,"[1,0,1,0]"
