"Discount name","Discount method","Discount type","Discount class","Applied discounts","Product and order discounts from apps","Shipping discounts from apps","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"GX-F9Z3LWW7C7","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.29,48.29
"GX-NNXBFCWQYP","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.29,48.29
"GX-HXJISU7YGZ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.07,48.07
"GMX-4392-9573-8935","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.07,48.07
"GX-M4O8HJVPDN","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-5482-6949-2387","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-6951-7027-1396","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-5352-3883-8195","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-PYL06YJB5K","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-43J3J3GXOM","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4,48
"GMX-2853-1580-5673","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-6307-2853-6844","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-2089-0004-6348","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-U3QV5CI236","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-3758-6004-7340","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-3WO8M9IUGO","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-ENTBR92ZKT","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-2538-0108-3564","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-NTKHLNG1CN","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4,48
"GX-F3PII770EZ","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-6635-4595-4227","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-4718-4305-7870","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GMX-3052-3764-4910","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-PJU6OFVBCI","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-3FKF7O23AY","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,0,48
"GX-VAAF7MSZRM","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.97,47.97
"GX-BFPZ173Y54","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.96,47.96
"GX-ZD86TMV0YQ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.96,47.96
"GMX-3733-6784-6012","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.82,47.82
"GMX-3074-7219-3241","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.8,47.8
"GX-BKX6CPFZWD","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.74,47.74
"GX-XGBIFNWOEY","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.63,47.63
"GX-TAXW9Y0FA0","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.63,47.63
"GX-5KVNNW0VJG","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.63,47.63
"GXM-4724-8647","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.63,47.63
"GMX-1350-5325-3173","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GMX-8817-3475-2655","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GX-R4ISOMNGGR","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GMX-6446-9356-5368","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GMX-5851-2524-3663","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GMX-5436-4895-8206","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.41,47.41
"GX-6ZS4638E4D","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.3,47.3
"GMX-1417-3903-4652","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.19,47.19
