"Page path","Percent of page loads","Page loads","INP P75","INP distribution"
"/blogs/national-parks/trail-running-in-the-grand-canyon-an-insider-s-guide",0,3,0,"[0,0,0,0]"
"/en-eu/blog/superfeet-volunteers-1000-plus-hours-in-2019",0,1,0,"[0,0,0,0]"
"/products/active-support-high-arch",0,2,56,"[1,1,0,0]"
"/blogs/company-news/what-is-different-about-superfeet-womens-specific-insoles",0,4,8,"[1,1,0,0]"
"/products/run-support-medium-arch",0,2,16,"[1,1,0,0]"
"/en-gb/blog/staying-safe-in-the-sunshine",0,1,0,"[0,0,0,0]"
"/pages/holiday-gift-guide",0,7,40,"[1,1,0,0]"
"/blogs/foot-health-podiatry/high-arches-explained",0,2,0,"[0,0,0,0]"
"/products/all-purpose-high-impact-support-3-pack",0,25,100,"[3,3,0,0]"
"/blogs/foot-health-podiatry/mortons-neuroma-explained",0,3,0,"[0,0,0,0]"
"/en-us/customer/account/login/",0,1,8,"[1,1,0,0]"
"/blogs/company-news/superfeet-wins-recognition-in-inc-s-best-workplaces-2025",0,5,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/what-are-the-best-insoles-for-plantar-fasciitis-in-2025",0,13,112,"[5,5,0,0]"
"/collections/personalized",0,21,124,"[7,7,0,0]"
"/en-us/collections/running",0,2,0,"[0,0,0,0]"
"/blogs/running/6-mid-run-snacks-for-runners-to-reenergize",0,8,132,"[2,2,0,0]"
"/en-eu/news/how-to-not-overheat-while-running-this-summer",0,1,0,"[0,0,0,0]"
"/blogs/company-news/olympian-colleen-quigley-joins-team-superfeet",0,16,36,"[8,8,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3N1cGVyZmVldC1jb21tdW5pdHktcmV0YWlsZXItYXdhcmQtZmluYWxpc3RzLTIwMjE%2C/",0,1,0,"[0,0,0,0]"
"/en-ca/everyday-pain-relief",0,1,0,"[0,0,0,0]"
